StaTerr,year,lower.turnover.caseworker,upper.turnover.caseworker,turnover.supervisor
NE,2014,0.291845494,0.386266094,0.265822785
NE,2015,0.169354839,0.298387097,0.197368421
NH,2004,0.080357143,0.142857143,0.19047619
NH,2005,0.085470085,0.196581197,0.175
NH,2006,0.119047619,0.222222222,0.166666667
NH,2007,0.114754098,0.221311475,0.145833333
NH,2008,0.084033613,0.201680672,0.102040816
NH,2009,0.184397163,0.19858156,0.142857143
NH,2010,0.159090909,0.234848485,0.102040816
NH,2011,0.015748031,0.102362205,0.057692308
NH,2012,0.13986014,0.181818182,0.118644068
NH,2013,0.090225564,0.172932331,0.155172414
NH,2014,0.15625,0.234375,0.189655172
NH,2015,0.198275862,0.232758621,0.145454545
NJ,2004,0,0.071290944,0.093670886
NJ,2005,0,0.13247652,0.057884232
NJ,2006,0.127738735,0.274906986,0.165217391
NJ,2008,0,0.03255814,0.025806452
NJ,2009,0.097970609,0.170748775,0.134078212
NJ,2010,0.112030554,0.164226607,0.13681592
NJ,2011,0.111577684,0.162567487,0.11820331
NJ,2012,0.049418605,0.126744186,0.145089286
NJ,2013,0.168442415,0.208523592,0.147928994
NJ,2014,0.091346154,0.14957265,0.098814229
NJ,2015,0.139352818,0.18006263,0.158558559
NM,2004,0.103321033,0.228782288,0.165048544
NM,2005,0.100358423,0.225806452,0.220183486
NM,2006,0.246621622,0.351351351,0.321428571
NM,2007,0.206521739,0.282608696,0.211538462
NM,2008,0.180722892,0.228915663,0.234693878
NM,2009,0.224806202,0.298449612,0.178571429
NM,2010,0.16064257,0.224899598,0.172413793
NM,2011,0.188,0.252,0.206896552
NM,2012,0.156862745,0.243137255,0.156626506
NM,2013,0.170909091,0.298181818,0.181818182
NM,2014,0.157142857,0.332142857,0.153846154
NM,2015,0.160142349,0.277580071,0.190839695
NV,2005,0.025925926,0.137037037,0.17721519
NV,2006,0.123333333,0.146666667,0.144444444
NV,2007,0.017857143,0.15,0.278481013
NV,2008,0.171875,0.25,0.188888889
NV,2009,0.161392405,0.256329114,0.177083333
NV,2010,0,0.185534591,0.388349515
NV,2011,0.28440367,0.321100917,0.361111111
NV,2012,0.12,0.203636364,0.207792208
