StaTerr,type,cases_median,cases_75thPct,cases_25thPct,cases_mean,cases_sd,tenure_median_yrs,tenure_75thPct,tenure_25thPct,tenure_mean,tenure_sd,caseload_median,caseload_75thPct,caseload_25thPct,caseload_mean,caseload_sd
TX,Caseworker,84,199,27,156.7271399357289,203.88735781768384,1.167123287671233,2.673972602739726,0.5863013698630137,2.2545700118857526,2.692874197013343,81.96576456669624,109.82674737790887,41.76385056332231,78.07409148670449,44.73800434182465
UT,Caseworker,163,384.5,60,258.379821958457,255.84760344099956,2.0712328767123287,4.0041095890410965,0.8602739726027397,2.6194843028061188,2.0721406961702007,118.79716981132077,144.17057926373397,65.29925164762545,104.12185692744077,51.72400672501441
VA,Caseworker,73.5,175,24,125.91222879684418,142.75428463855795,2.432876712328767,4.650684931506849,1.1452054794520548,2.938519178982825,2.1022813615800007,42.13380779325661,69.6025463735635,17.03369799188033,46.265292832213035,33.53373820378649
WA,Caseworker,41,136,12,113.9908764169201,188.1181555798715,1.9452054794520548,4.1945205479452055,0.7342465753424657,2.6374790278782463,2.2152390359498106,33.77224199288256,71.68171557562077,9.872276483846731,56.45820768202073,71.23894984202678
WI,Caseworker,80,239.25,20,179.42693236714976,236.42793548145232,2.910958904109589,6.298630136986302,1.2404109589041095,4.026214347164317,3.3623824655139782,43.84318528446643,73.05922346462887,12.534439506276856,47.66947728525984,36.96514801866971
WV,Caseworker,64,167,22,146.42800788954636,213.39926497996564,1.7068493150684931,4.4520547945205475,0.8876712328767123,3.034802265992993,2.999688785019868,42.565597667638485,84.02227722772278,17.056074766355138,54.49754090262936,43.89301294266882
WY,Caseworker,33,86,16,75.36034115138592,113.51891011514125,2.473972602739726,5.580821917808219,1.3342465753424657,3.8974033939889594,3.511241875051207,16.102941176470587,27.691686844229217,9.157706093189965,20.8127066315766,16.973912654345124
AK,Supervisor,200.5,536.5,52,411.06626506024094,541.0803909972375,3.536986301369863,6.271917808219178,1.7773972602739725,4.451114045221984,3.1035587842929755,53.88391044553919,120.74504653415312,26.02748925898038,86.15014000136613,88.64334665251108
AL,Supervisor,88.5,355.75,23,309.4156976744186,501.9475594292492,3.243835616438356,4.631506849315068,1.5006849315068496,3.316956036954444,2.0559098976349723,39.06943250570305,104.87966124462574,13.71219754960525,80.41364942481917,97.48308221409316
AR,Supervisor,340,1348,62.5,1100.4868804664723,1793.7162277041286,3.9863013698630136,7.72054794520548,1.8739726027397259,5.004720635808139,3.7996866747139695,98.179813816756493,315.0054157617161,31.29379891693695,212.12455811816173,262.416389443396
