StaTerr,year,chpov,caseworkers,supervisors,caseworker_capacity,supervisor_capacity,screened_in_reports
LA,2008,274238,421,NA,1.5351628877106747,NA,21372
LA,2009,274805,396,NA,1.4410218154691508,NA,23788
LA,2010,302056,386,NA,1.2779087321556268,NA,21819
LA,2011,317946,438,NA,1.3775924213545696,NA,25508
LA,2012,315185,422,NA,1.3388962038168062,NA,22380
LA,2013,311059,412,NA,1.3245075693035726,NA,26099
LA,2014,307469,432,NA,1.4050196930422254,NA,25270
LA,2015,309187,365,NA,1.1805153515510032,NA,16960
MA,2004,187216,779,308,4.160969147936074,1.6451585334586787,39403
MA,2005,193177,814,354,4.213752154759625,1.8325162933475516,38184
MA,2006,180929,845,367,4.670340299233401,2.0284199879510747,39136
MA,2007,183117,899,392,4.909429490435077,2.140707853448888,40783
MA,2008,173181,983,427,5.676142301984629,2.4656284465385925,45054
MA,2009,187931,1384,473,7.364405020991747,2.516881195758018,41832
MA,2010,201703,2148,614,10.649321031417479,3.0440796616807884,39838
MA,2011,212987,2161,605,10.146159155253606,2.8405489536920094,37319
MA,2012,213611,2026,575,9.484530291043065,2.691808942423377,37979
MA,2013,222666,1892,428,8.497031428237808,1.9221614435971366,38880
MA,2014,209291,1873,439,8.949262032289969,2.0975579456355025,50578
MA,2015,203789,1454,369,7.134830633645585,1.8106963575070292,30347
MD,2004,156087,468,95,2.9983278556189816,0.6086349279568446,14412
MD,2005,149712,473,93,3.1593993801432085,0.6211926899647323,7927
MD,2007,141532,418,127,2.9533956984992793,0.8973235734674845,24977
MD,2008,137831,499,139,3.620375677460078,1.008481401136174,26824
MD,2009,157164,530,115,3.3722735486498183,0.7317197322542057,26974
MD,2010,174469,488,112,2.7970585032298003,0.641947853200282,21110
MD,2011,184238,483,119,2.621609005742572,0.6459036680815032,26525
MD,2012,187400,459,113,2.449306296691569,0.6029882604055496,25865
MD,2013,184220,453,109,2.459016393442623,0.591683856258821,25909
MD,2014,183531,455,119,2.4791452125254043,0.6483918248143365,21610
MD,2015,184229,433,118,2.3503357234745885,0.6405071948498878,12689
ME,2004,39342,205,66,5.210716282852931,1.6775964617965533,5382
ME,2005,44682,206,62,4.610357638422632,1.3875833669038986,5344
ME,2006,46379,218,65,4.700403199724013,1.4014963668901874,6221
ME,2007,43052,228,72,5.295921211558116,1.6723961720709841,6708
ME,2008,43943,239,73,5.438863982886922,1.6612429738524908,6295
ME,2009,46349,222,68,4.789747351614921,1.4671298194135796,6261
ME,2010,48734,239,71,4.904173677514671,1.4568884146591703,6078
ME,2011,50579,219,66,4.329860218667826,1.304889380968386,6875
ME,2012,51386,254,74,4.942980578367648,1.440080955902386,8398
ME,2013,46645,304,80,6.517311608961304,1.7150820023582376,8862
ME,2014,47862,286,76,5.975512933015754,1.5878985416405498,9067
ME,2015,43683,249,72,5.700157956184328,1.6482384451617333,5733
MI,2004,433845,800,NA,1.843976535398587,NA,67996
MI,2005,454296,804,NA,1.7697712504622536,NA,67282
MI,2006,444913,823,NA,1.8497998485097087,NA,42549
MI,2008,455357,912,351,2.0028241577487553,0.7708237712388302,72446
MI,2009,513550,1058,423,2.0601694090156752,0.8236783175932236,73069
MI,2010,537003,1048,424,1.9515719651473082,0.7895672836092164,79157
MI,2011,556687,1471,517,2.6424184505835413,0.9287085920813671,85962
MI,2012,549131,1572,488,2.8627048919110374,0.8886768366746732,89600
MI,2013,522365,1620,472,3.101279756492108,0.9035827438668363,86273
MI,2014,492257,1579,308,3.2076740401863253,0.6256894264581306,83246
MI,2015,481421,1639,402,3.404504581229319,0.835027969282603,60881
MN,2004,130284,524,123,4.0219827453870005,0.9440913696232845,18156
MN,2005,139709,574,114,4.108539893636058,0.8159817907221439,19183
MN,2006,148700,594,122,3.9946200403496976,0.82044384667115,19413
MN,2007,148294,597,123,4.025786613079423,0.8294334227952581,18970
MN,2008,141120,613,130,4.3438208616780045,0.921201814058957,18195
MN,2009,172134,577,118,3.3520396900089464,0.6855124496032161,17709
MN,2010,189999,568,117,2.98948941836536,0.6157927146984984,17932
MN,2011,192156,614,110,3.1953204687857784,0.5724515497824685,18385
MN,2012,183595,617,118,3.3606579699882895,0.6427190282959776,19512
